Fecha,Camion,Horas_Hombre,Costo_Reparacion,Tipo_Reparacion
2024-06-10 01:52:07,Scania_6,9.78,3565.41,Motor
2023-12-04 01:52:07,Scania_9,2.75,3132.99,Motor
2024-04-06 01:52:07,Scania_10,9.07,4966.86,Electricidad
2024-01-22 01:52:07,Scania_3,7.32,4051.8,Neum‡ticos
2024-03-23 01:52:07,Scania_2,9.43,2906.23,Suspensi—n
2023-12-17 01:52:07,Scania_9,3.13,4326.78,Suspensi—n
2024-03-19 01:52:07,Scania_5,9.55,3539.27,Aceite
2024-08-13 01:52:07,Scania_8,3.33,2660.1,Aceite
2024-02-29 01:52:07,Scania_2,6.7,1150.85,Suspensi—n
2024-01-12 01:52:07,Scania_7,5.87,3458.26,Transmisi—n
2024-05-08 01:52:07,Scania_7,8.95,2748.74,Suspensi—n
2024-10-14 01:52:07,Scania_10,4.97,4611.59,Transmisi—n
2024-02-03 01:52:07,Scania_4,9.28,1568.75,Motor
2024-03-23 01:52:07,Scania_5,7.46,4223.99,Motor
2024-07-04 01:52:07,Scania_8,9.4,3020.5,Aceite
2024-03-21 01:52:07,Scania_5,6.88,2763.01,Transmisi—n
2024-04-29 01:52:07,Scania_5,6.31,3822.64,Frenos
2024-04-20 01:52:07,Scania_8,9.95,3598.54,Frenos
2024-01-20 01:52:07,Scania_6,1.71,3841,Frenos
2024-03-25 01:52:07,Scania_1,6.07,2580.15,Aceite

